#,Table Name,Column Name,Description,Format/Unit of measure,DATA_TYPE,Alter SQL
139,pension.PPDDataLatest,FVChange_SecLend,Securities lending-appreciation (income).,$000s,nvarchar,"alter table pension.PPDDataLatest alter column FVChange_SecLend decimal(18, 2) null"
143,pension.PPDDataLatest,FVChange_SecLend_UG,Securities Lending-unrealized gain (Loss).,$000s,nvarchar,"alter table pension.PPDDataLatest alter column FVChange_SecLend_UG decimal(18, 2) null"
144,pension.PPDDataLatest,income_OtherAdditions,Other additions.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column income_OtherAdditions decimal(18, 2) null"
148,pension.PPDDataLatest,expense_DisabilityBenefits,Deductions - disability benefits.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_DisabilityBenefits decimal(18, 2) null"
149,pension.PPDDataLatest,expense_DeathBenefits,Deductions - death benefits.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_DeathBenefits decimal(18, 2) null"
150,pension.PPDDataLatest,expense_DROPBenefits,Deductions - drop benefits.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_DROPBenefits decimal(18, 2) null"
151,pension.PPDDataLatest,expense_SurvivorBenefits,Deductions - survivor benefits.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_SurvivorBenefits decimal(18, 2) null"
152,pension.PPDDataLatest,expense_COLABenefits,Deductions - cola benefit.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_COLABenefits decimal(18, 2) null"
153,pension.PPDDataLatest,expense_LumpSumBenefits,Deductions - lump sum benefits.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column expense_LumpSumBenefits decimal(18, 2) null"
160,pension.PPDDataLatest,adjustment_MktAssets,Internal adjustment to market assets.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column adjustment_MktAssets decimal(18, 2) null"
179,pension.PPDDataLatest,NormCostAmount_tot,Total normal cost amount.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column NormCostAmount_tot decimal(18, 2) null"
180,pension.PPDDataLatest,NormCostAmount_EE,Member contribution amount.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column NormCostAmount_EE decimal(18, 2) null"
181,pension.PPDDataLatest,NormCostAmount_ER,Employer normal cost amount.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column NormCostAmount_ER decimal(18, 2) null"
182,pension.PPDDataLatest,ReqContAmount_ER,Employer's projected actuarial required contribution amount.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column ReqContAmount_ER decimal(18, 2) null"
183,pension.PPDDataLatest,ReqContAmount_tot,Total projected actuarial required contribution amount.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column ReqContAmount_tot decimal(18, 2) null"
188,pension.PPDDataLatest,ProjectedPayroll,Projected payroll.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column ProjectedPayroll decimal(18, 2) null"
206,pension.PPDDataLatest,ServiceRetireeBenefit_avg,Average benefit paid to service retirees.,$000s,nvarchar,"alter table pension.PPDDataLatest alter column ServiceRetireeBenefit_avg decimal(18, 2) null"
218,pension.PPDDataLatest,PVFB_InactiveNonVested,Present Value of Inactive Non-vested Future Benefits,$000s,nvarchar,"alter table pension.PPDDataLatest alter column PVFB_InactiveNonVested decimal(18, 2) null"
219,pension.PPDDataLatest,PVFB_active,Present Value of Active Future Benefits,$000s,nvarchar,"alter table pension.PPDDataLatest alter column PVFB_active decimal(18, 2) null"
220,pension.PPDDataLatest,PVFB_InactiveVested,Present Value of Inactive Vested Future Benefits,$000s,nvarchar,"alter table pension.PPDDataLatest alter column PVFB_InactiveVested decimal(18, 2) null"
222,pension.PPDDataLatest,PVFB_other,Present Value of Other Future Benefits,$000s,nvarchar,"alter table pension.PPDDataLatest alter column PVFB_other decimal(18, 2) null"
223,pension.PPDDataLatest,PVFB_tot,Present value of future benefits (total),$000s,nvarchar,"alter table pension.PPDDataLatest alter column PVFB_tot decimal(18, 2) null"
224,pension.PPDDataLatest,PVFNC_tot,Total Present Value of Future Normal Costs (PVFNC),$000s,nvarchar,"alter table pension.PPDDataLatest alter column PVFNC_tot decimal(18, 2) null"
225,pension.PPDDataLatest,PVFNC_EE,Present Value of Future Member Contributions,$000s,nvarchar,"alter table pension.PPDDataLatest alter column PVFNC_EE decimal(18, 2) null"
226,pension.PPDDataLatest,PVFNC_ER,Present Value of Future Employer Normal Costs,$000s,nvarchar,"alter table pension.PPDDataLatest alter column PVFNC_ER decimal(18, 2) null"
227,pension.PPDDataLatest,PVFS,Present Value of Future Salaries (PVFS),$000s,nvarchar,"alter table pension.PPDDataLatest alter column PVFS decimal(18, 2) null"
229,pension.PPDDataLatest,ActAssets_AVA,Actuarial assets,$000s,nvarchar,"alter table pension.PPDDataLatest alter column ActAssets_AVA decimal(18, 2) null"
230,pension.PPDDataLatest,ActLiabilities_EAN,Actuarial liabilities under Entry Age Normal,$000s,nvarchar,"alter table pension.PPDDataLatest alter column ActLiabilities_EAN decimal(18, 2) null"
231,pension.PPDDataLatest,ActLiabilities_PUC,Actuarial liabilities under Projected Unit Credit,$000s,nvarchar,"alter table pension.PPDDataLatest alter column ActLiabilities_PUC decimal(18, 2) null"
232,pension.PPDDataLatest,TotFund_BnchmrkRtrn,Total Fund Benchmark Return,$000s,nvarchar,"alter table pension.PPDDataLatest alter column TotFund_BnchmrkRtrn decimal(18, 2) null"
233,pension.PPDDataLatest,EQTotal_Rtrn,Annual return on total equity investments.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column EQTotal_Rtrn decimal(7, 5) null"
235,pension.PPDDataLatest,EQTotal_Trgt,Targeted percent of assets invested in equity investments (total).,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column EQTotal_Trgt decimal(7, 5) null"
238,pension.PPDDataLatest,FITotal_Trgt,Targeted percent of assets invested in fixed income.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column FITotal_Trgt decimal(7, 5) null"
239,pension.PPDDataLatest,RETotal_Rtrn,Annual return on real estate investments.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column RETotal_Rtrn decimal(7, 5) null"
241,pension.PPDDataLatest,RETotal_Trgt,Targeted percent of assets invested in real estate.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column RETotal_Trgt decimal(7, 5) null"
242,pension.PPDDataLatest,AltMiscTotal_Rtrn,Annual return on misc. alternative investments.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column AltMiscTotal_Rtrn decimal(7, 5) null"
244,pension.PPDDataLatest,AltMiscTotal_Trgt,Targeted percent of assets invested in misc. alternatives.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column AltMiscTotal_Trgt decimal(7, 5) null"
245,pension.PPDDataLatest,PETotal_Rtrn,Annual return on private equity investments.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column PETotal_Rtrn decimal(7, 5) null"
247,pension.PPDDataLatest,PETotal_Trgt,Targeted percent of assets invested in private equity.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column PETotal_Trgt decimal(7, 5) null"
248,pension.PPDDataLatest,HFTotal_Rtrn,Annual return on hedge fund investments.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column HFTotal_Rtrn decimal(7, 5) null"
250,pension.PPDDataLatest,HFTotal_Trgt,Targeted percent of assets invested in hedge funds.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column HFTotal_Trgt decimal(7, 5) null"
251,pension.PPDDataLatest,COMDTotal_Rtrn,Annual return on commodity investments.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column COMDTotal_Rtrn decimal(7, 5) null"
253,pension.PPDDataLatest,COMDTotal_Trgt,Targeted percent of assets invested in commodities.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column COMDTotal_Trgt decimal(7, 5) null"
254,pension.PPDDataLatest,CashTotal_Rtrn,Annual return on cash investments.,Percentage point,nvarchar,"alter table pension.PPDDataLatest alter column CashTotal_Rtrn decimal(7, 5) null"
323,pension.PFPlan_PPDSupplement,ActLiabilities_other,Other liability.,$000s,nvarchar,"alter table pension.PFPlan_PPDSupplement alter column ActLiabilities_other decimal(18, 2) null"
329,pension.PFPlan_PPDSupplement,TotalPensionLiability,Total Pension Liability,$000s,nvarchar,"alter table pension.PFPlan_PPDSupplement alter column TotalPensionLiability decimal(18, 2) null"
330,pension.PFPlan_PPDSupplement,NetPosition,Net Position,$000s,nvarchar,"alter table pension.PFPlan_PPDSupplement alter column NetPosition decimal(18, 2) null"
331,pension.PFPlan_PPDSupplement,NetPensionLiability,Net Pension Liability,$000s,nvarchar,"alter table pension.PFPlan_PPDSupplement alter column NetPensionLiability decimal(18, 2) null"
543,pension.PensionCreditRating,Tot_MktValue_SP,Total,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Tot_MktValue_SP decimal(18, 2) null"
544,pension.PensionCreditRating,Tot_ParValue_SP,Total,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Tot_ParValue_SP decimal(18, 2) null"
563,pension.PensionCreditRating,BaAndBelow_MktVal_M,Ba and below,$000s,nvarchar,"alter table pension.PensionCreditRating alter column BaAndBelow_MktVal_M decimal(18, 2) null"
564,pension.PensionCreditRating,BaAndBelow_ParVal_M,Ba and below,$000s,nvarchar,"alter table pension.PensionCreditRating alter column BaAndBelow_ParVal_M decimal(18, 2) null"
565,pension.PensionCreditRating,AGY_MktVal_M,AGY,$000s,nvarchar,"alter table pension.PensionCreditRating alter column AGY_MktVal_M decimal(18, 2) null"
566,pension.PensionCreditRating,AGY_ParVal_M,AGY,$000s,nvarchar,"alter table pension.PensionCreditRating alter column AGY_ParVal_M decimal(18, 2) null"
573,pension.PensionCreditRating,Aaa_GovBond_MktVal_M,Aaa - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_GovBond_MktVal_M decimal(18, 2) null"
574,pension.PensionCreditRating,Aaa_GovBond_ParVal_M,Aaa - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_GovBond_ParVal_M decimal(18, 2) null"
575,pension.PensionCreditRating,Aa_GovBond_MktVal_M,Aa - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_GovBond_MktVal_M decimal(18, 2) null"
576,pension.PensionCreditRating,Aa_GovBond_ParVal_M,Aa - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_GovBond_ParVal_M decimal(18, 2) null"
577,pension.PensionCreditRating,A_GovBond_MktVal_M,A - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_GovBond_MktVal_M decimal(18, 2) null"
578,pension.PensionCreditRating,A_GovBond_ParVal_M,A - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_GovBond_ParVal_M decimal(18, 2) null"
579,pension.PensionCreditRating,Baa_GovBond_MktVal_M,Baa - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_GovBond_MktVal_M decimal(18, 2) null"
580,pension.PensionCreditRating,Baa_GovBond_ParVal_M,Baa - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_GovBond_ParVal_M decimal(18, 2) null"
581,pension.PensionCreditRating,Ba_GovBond_MktVal_M,Ba - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_GovBond_MktVal_M decimal(18, 2) null"
582,pension.PensionCreditRating,Ba_GovBond_ParVal_M,Ba - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_GovBond_ParVal_M decimal(18, 2) null"
583,pension.PensionCreditRating,B_GovBond_MktVal_M,B - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_GovBond_MktVal_M decimal(18, 2) null"
584,pension.PensionCreditRating,B_GovBond_ParVal_M,B - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_GovBond_ParVal_M decimal(18, 2) null"
585,pension.PensionCreditRating,CaaBelow_GovBond_MktVal_M,Caa and below - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_GovBond_MktVal_M decimal(18, 2) null"
586,pension.PensionCreditRating,CaaBelow_GovBond_ParVal_M,Caa and below - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_GovBond_ParVal_M decimal(18, 2) null"
587,pension.PensionCreditRating,Unrated_GovBond_MktVal_M,Unrated - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_GovBond_MktVal_M decimal(18, 2) null"
588,pension.PensionCreditRating,Unrated_GovBond_ParVal_M,Unrated - Government bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_GovBond_ParVal_M decimal(18, 2) null"
589,pension.PensionCreditRating,Aaa_AgCMO_MktVal_M,Aaa - Agency CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_AgCMO_MktVal_M decimal(18, 2) null"
590,pension.PensionCreditRating,Aaa_AgCMO_ParVal_M,Aaa - Agency CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_AgCMO_ParVal_M decimal(18, 2) null"
593,pension.PensionCreditRating,Aaa_AgPool_MktVal_M,Aaa - Agency pooled,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_AgPool_MktVal_M decimal(18, 2) null"
594,pension.PensionCreditRating,Aaa_AgPool_ParVal_M,Aaa - Agency pooled,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_AgPool_ParVal_M decimal(18, 2) null"
595,pension.PensionCreditRating,Unrated_AgPool_MktVal_M,Unrated - Agency pooled,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_AgPool_MktVal_M decimal(18, 2) null"
596,pension.PensionCreditRating,Unrated_AgPool_ParVal_M,Unrated - Agency pooled,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_AgPool_ParVal_M decimal(18, 2) null"
597,pension.PensionCreditRating,Aaa_CMO_MktVal_M,Aaa - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_CMO_MktVal_M decimal(18, 2) null"
598,pension.PensionCreditRating,Aaa_CMO_ParVal_M,Aaa - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_CMO_ParVal_M decimal(18, 2) null"
599,pension.PensionCreditRating,Aa_CMO_MktVal_M,Aa - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_CMO_MktVal_M decimal(18, 2) null"
600,pension.PensionCreditRating,Aa_CMO_ParVal_M,Aa - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_CMO_ParVal_M decimal(18, 2) null"
601,pension.PensionCreditRating,A_CMO_MktVal_M,A - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_CMO_MktVal_M decimal(18, 2) null"
602,pension.PensionCreditRating,A_CMO_ParVal_M,A - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_CMO_ParVal_M decimal(18, 2) null"
603,pension.PensionCreditRating,Baa_CMO_MktVal_M,Baa - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_CMO_MktVal_M decimal(18, 2) null"
604,pension.PensionCreditRating,Baa_CMO_ParVal_M,Baa - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_CMO_ParVal_M decimal(18, 2) null"
605,pension.PensionCreditRating,Ba_CMO_MktVal_M,Ba - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_CMO_MktVal_M decimal(18, 2) null"
606,pension.PensionCreditRating,Ba_CMO_ParVal_M,Ba - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_CMO_ParVal_M decimal(18, 2) null"
607,pension.PensionCreditRating,B_CMO_MktVal_M,B - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_CMO_MktVal_M decimal(18, 2) null"
608,pension.PensionCreditRating,B_CMO_ParVal_M,B - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_CMO_ParVal_M decimal(18, 2) null"
609,pension.PensionCreditRating,CaaAndBelow_CMO_MktVal_M,Caa and below - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_CMO_MktVal_M decimal(18, 2) null"
610,pension.PensionCreditRating,CaaAndBelow_CMO_ParVal_M,Caa and below - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaAndBelow_CMO_ParVal_M decimal(18, 2) null"
611,pension.PensionCreditRating,Unrated_CMO_MktVal_M,Unrated - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_CMO_MktVal_M decimal(18, 2) null"
612,pension.PensionCreditRating,Unrated_CMO_ParVal_M,Unrated - CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_CMO_ParVal_M decimal(18, 2) null"
613,pension.PensionCreditRating,Aaa_CorpCMO_MktVal_M,Aaa - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_CorpCMO_MktVal_M decimal(18, 2) null"
614,pension.PensionCreditRating,Aaa_CorpCMO_ParVal_M,Aaa - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_CorpCMO_ParVal_M decimal(18, 2) null"
615,pension.PensionCreditRating,Aa_CorpCMO_MktVal_M,Aa - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_CorpCMO_MktVal_M decimal(18, 2) null"
616,pension.PensionCreditRating,Aa_CorpCMO_ParVal_M,Aa - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_CorpCMO_ParVal_M decimal(18, 2) null"
617,pension.PensionCreditRating,A_CorpCMO_MktVal_M,A - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_CorpCMO_MktVal_M decimal(18, 2) null"
618,pension.PensionCreditRating,A_CorpCMO_ParVal_M,A - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_CorpCMO_ParVal_M decimal(18, 2) null"
619,pension.PensionCreditRating,Baa_CorpCMO_MktVal_M,Baa - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_CorpCMO_MktVal_M decimal(18, 2) null"
620,pension.PensionCreditRating,Baa_CorpCMO_ParVal_M,Baa - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_CorpCMO_ParVal_M decimal(18, 2) null"
621,pension.PensionCreditRating,Ba_CorpCMO_MktVal_M,Ba - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_CorpCMO_MktVal_M decimal(18, 2) null"
622,pension.PensionCreditRating,Ba_CorpCMO_ParVal_M,Ba - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_CorpCMO_ParVal_M decimal(18, 2) null"
623,pension.PensionCreditRating,B_CorpCMO_MktVal_M,B - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_CorpCMO_MktVal_M decimal(18, 2) null"
624,pension.PensionCreditRating,B_CorpCMO_ParVal_M,B - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_CorpCMO_ParVal_M decimal(18, 2) null"
625,pension.PensionCreditRating,CandBelow_CorpCMO_MktVal_M,Caa and below - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CandBelow_CorpCMO_MktVal_M decimal(18, 2) null"
626,pension.PensionCreditRating,CandBelow_CorpCMO_ParVal_M,Caa and below - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CandBelow_CorpCMO_ParVal_M decimal(18, 2) null"
627,pension.PensionCreditRating,Unrated_CorpCMO_MktVal_M,Unrated - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_CorpCMO_MktVal_M decimal(18, 2) null"
628,pension.PensionCreditRating,Unrated_CorpCMO_ParVal_M,Unrated - Corporate CMO,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_CorpCMO_ParVal_M decimal(18, 2) null"
629,pension.PensionCreditRating,Aaa_ConvtBond_MktVal_M,Aaa - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_ConvtBond_MktVal_M decimal(18, 2) null"
630,pension.PensionCreditRating,Aaa_ConvtBond_ParVal_M,Aaa - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_ConvtBond_ParVal_M decimal(18, 2) null"
631,pension.PensionCreditRating,Aa_ConvtBond_MktVal_M,Aa - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_ConvtBond_MktVal_M decimal(18, 2) null"
632,pension.PensionCreditRating,Aa_ConvtBond_ParVal_M,Aa - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_ConvtBond_ParVal_M decimal(18, 2) null"
633,pension.PensionCreditRating,A_ConvtBond_MktVal_M,A - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_ConvtBond_MktVal_M decimal(18, 2) null"
634,pension.PensionCreditRating,A_ConvtBond_ParVal_M,A - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column A_ConvtBond_ParVal_M decimal(18, 2) null"
635,pension.PensionCreditRating,Baa_ConvtBond_MktVal_M,Baa - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_ConvtBond_MktVal_M decimal(18, 2) null"
636,pension.PensionCreditRating,Baa_ConvtBond_ParVal_M,Baa - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Baa_ConvtBond_ParVal_M decimal(18, 2) null"
637,pension.PensionCreditRating,Ba_ConvtBond_MktVal_M,Ba - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_ConvtBond_MktVal_M decimal(18, 2) null"
638,pension.PensionCreditRating,Ba_ConvtBond_ParVal_M,Ba - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Ba_ConvtBond_ParVal_M decimal(18, 2) null"
639,pension.PensionCreditRating,B_ConvtBond_MktVal_M,B - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_ConvtBond_MktVal_M decimal(18, 2) null"
640,pension.PensionCreditRating,B_ConvtBond_ParVal_M,B - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column B_ConvtBond_ParVal_M decimal(18, 2) null"
641,pension.PensionCreditRating,CaaBelow_ConvtBond_MktVal_M,Caa and below - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_ConvtBond_MktVal_M decimal(18, 2) null"
642,pension.PensionCreditRating,CaaBelow_ConvtBond_ParVal_M,Caa and below - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column CaaBelow_ConvtBond_ParVal_M decimal(18, 2) null"
643,pension.PensionCreditRating,Unrated_ConvtBond_MktVal_M,Unrated - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_ConvtBond_MktVal_M decimal(18, 2) null"
644,pension.PensionCreditRating,Unrated_ConvtBond_ParVal_M,Unrated - Convertible bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Unrated_ConvtBond_ParVal_M decimal(18, 2) null"
645,pension.PensionCreditRating,Aaa_CorpBond_MktVal_M,Aaa - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_CorpBond_MktVal_M decimal(18, 2) null"
646,pension.PensionCreditRating,Aaa_CorpBond_ParVal_M,Aaa - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aaa_CorpBond_ParVal_M decimal(18, 2) null"
647,pension.PensionCreditRating,Aa_CorpBond_MktVal_M,Aa - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_CorpBond_MktVal_M decimal(18, 2) null"
648,pension.PensionCreditRating,Aa_CorpBond_ParVal_M,Aa - Corporate bond,$000s,nvarchar,"alter table pension.PensionCreditRating alter column Aa_CorpBond_ParVal_M decimal(18, 2) null"
